25 25 0  217
        1         1 1
        1         2 0.1666666666666666019
        1         4 0.1666666666666666019
        1         5 0
        1        10 -2.3592239273284576484e-16
        1        11 4.7011006198971472259e-16
        1        12 -0.66666666666666662966
        1        13 -2.3418766925686895775e-16
        1        14 -0.66666666666666662966
        2         1 0.16666666666666657415
        2         2 1.999999999999999778
        2         3 0.1666666666666666019
        2         5 0.33333333333333325932
        2         6 0
        2        10 -1.3333333333333330373
        2        11 5.5511151231257827021e-17
        2        12 -0.66666666666666651864
        2        15 -2.3592239273284576484e-16
        2        16 4.7011006198971472259e-16
        2        17 -0.66666666666666662966
        2        18 -2.3418766925686895775e-16
        3         2 0.16666666666666657415
        3         3 0.99999999999999977796
        3         6 0.16666666666666665741
        3        15 -0.66666666666666651864
        3        16 5.5511151231257827021e-17
        3        17 -0.66666666666666651864
        4         1 0.16666666666666657415
        4         4 1.9999999999999995559
        4         5 0.33333333333333325932
        4         7 0.1666666666666666019
        4         8 0
        4        11 5.2041704279304212832e-17
        4        13 -1.3333333333333332593
        4        14 -0.66666666666666640761
        4        19 -2.3592239273284576484e-16
        4        20 4.7011006198971472259e-16
        4        21 -2.3418766925686895775e-16
        4        22 -0.66666666666666662966
        5         1 0
        5         2 0.33333333333333325932
        5         4 0.33333333333333325932
        5         5 3.9999999999999991118
        5         6 0.33333333333333325932
        5         8 0.33333333333333325932
        5         9 0
        5        10 -1.3333333333333330373
        5        11 4.1633363423443370266e-17
        5        12 -1.3877787807814456755e-17
        5        13 -1.3333333333333330373
        5        14 -2.7755575615628913511e-17
        5        16 5.2041704279304212832e-17
        5        18 -1.3333333333333332593
        5        19 -1.3333333333333330373
        5        20 5.5511151231257827021e-17
        5        23 -2.3592239273284576484e-16
        5        24 4.7011006198971472259e-16
        5        25 -2.3418766925686895775e-16
        6         2 0
        6         3 0.16666666666666665741
        6         5 0.33333333333333325932
        6         6 1.9999999999999995559
        6         9 0.16666666666666665741
        6        10 -2.7755575615628913511e-17
        6        15 -0.66666666666666651864
        6        16 4.1633363423443370266e-17
        6        17 -1.3877787807814456755e-17
        6        18 -1.3333333333333330373
        6        23 -0.66666666666666651864
        6        24 5.5511151231257827021e-17
        7         4 0.16666666666666657415
        7         7 0.99999999999999966693
        7         8 0.16666666666666665741
        7        20 5.2041704279304212832e-17
        7        21 -0.66666666666666662966
        7        22 -0.66666666666666640761
        8         4 0
        8         5 0.33333333333333325932
        8         7 0.16666666666666665741
        8         8 1.9999999999999995559
        8         9 0.16666666666666665741
        8        13 -1.3877787807814456755e-17
        8        19 -1.3333333333333330373
        8        20 4.1633363423443370266e-17
        8        21 -0.66666666666666651864
        8        22 -2.7755575615628913511e-17
        8        24 5.2041704279304212832e-17
        8        25 -0.66666666666666662966
        9         5 0
        9         6 0.16666666666666665741
        9         8 0.16666666666666665741
        9         9 0.99999999999999977796
        9        18 -1.3877787807814456755e-17
        9        19 -2.7755575615628913511e-17
        9        23 -0.66666666666666651864
        9        24 4.1633363423443370266e-17
        9        25 -0.66666666666666651864
       10         1 -2.2204460492503130808e-16
       10         2 -1.3333333333333330373
       10         5 -1.3333333333333330373
       10         6 -2.7755575615628913511e-17
       10        10 5.3333333333333321491
       10        11 -1.3333333333333332593
       10        12 2.7755575615628913511e-16
       10        16 -1.3333333333333339255
       10        18 3.4008887462067749164e-16
       11         1 4.3888503942213219489e-16
       11         2 6.9388939039072283776e-17
       11         4 3.9898639947466563171e-17
       11         5 4.1633363423443370266e-17
       11        10 -1.3333333333333330373
       11        11 5.3333333333333339255
       11        12 -1.3333333333333339255
       11        13 -1.3333333333333332593
       11        14 -1.3333333333333339255
       12         1 -0.66666666666666662966
       12         2 -0.66666666666666640761
       12         5 -1.3877787807814456755e-17
       12        10 2.7755575615628913511e-16
       12        11 -1.3333333333333339255
       12        12 2.6666666666666665186
       13         1 -2.168404344971008868e-16
       13         4 -1.3333333333333332593
       13         5 -1.3333333333333330373
       13         8 -1.3877787807814456755e-17
       13        11 -1.3333333333333332593
       13        13 5.3333333333333321491
       13        14 3.4008887462067749164e-16
       13        19 2.7755575615628913511e-16
       13        20 -1.3333333333333339255
       14         1 -0.66666666666666662966
