49 49 0  673
        1         1 1.8699999999999992184
        1         2 -0.29749999999999954259
        1         4 -0.087499999999999883427
        1         5 0
        1        10 -0.12749999999999933609
        1        11 -0.12749999999999916955
        1        12 0.16500000000000100697
        1        13 0.16499999999999884204
        1        14 -2.2949999999999990408
        1        15 1.1474999999999992983
        1        16 -1.4988010832439613296e-15
        1        17 -0.037499999999999880651
        1        18 -0.037499999999999686362
        1        19 -0.67499999999999982236
        1        20 0.33749999999999980016
        1        21 -4.6820942106830982769e-16
        2         1 -0.29749999999999954259
        2         2 3.7399999999999962164
        2         3 -0.29749999999999954259
        2         5 -0.17499999999999985012
        2         6 0
        2        10 -1.2225000000000003642
        2        11 0.80249999999999976907
        2        12 -0.16500000000000036859
        2        13 -0.16500000000000003553
        2        14 1.1849999999999982769
        2        15 -2.2574999999999962874
        2        16 1.6098233857064769836e-15
        2        22 -0.12749999999999933609
        2        23 -0.12749999999999916955
        2        24 0.16500000000000100697
        2        25 0.16499999999999884204
        2        26 -2.2949999999999990408
        2        27 1.1474999999999992983
        2        28 -1.4988010832439613296e-15
        2        29 -0.037499999999999880651
        2        30 -0.037499999999999686362
        2        31 -4.6820942106830982769e-16
        3         2 -0.29749999999999954259
        3         3 1.869999999999996998
        3         6 -0.087499999999999966693
        3        22 -0.54750000000000054179
        3        23 0.46499999999999996891
        3        24 -0.16500000000000036859
        3        25 -0.16500000000000003553
        3        26 1.1849999999999982769
        3        27 -2.2574999999999962874
        3        28 1.6098233857064769836e-15
        4         1 -0.087499999999999869549
        4         4 3.7399999999999957723
        4         5 -0.59499999999999952927
        4         7 -0.087499999999999883427
        4         8 0
        4        12 -0.16500000000000020206
        4        13 -0.16499999999999989675
        4        17 -4.5524999999999966604
        4        18 2.3324999999999986855
        4        19 0.46499999999999952482
        4        20 -0.54749999999999920952
        4        21 4.959649966839387412e-16
        4        32 -0.12749999999999933609
        4        33 -0.12749999999999916955
        4        34 0.16500000000000100697
        4        35 0.16499999999999884204
        4        36 -1.4988010832439613296e-15
        4        37 -0.037499999999999880651
        4        38 -0.037499999999999686362
        4        39 -0.67499999999999982236
        4        40 0.33749999999999980016
        4        41 -4.6820942106830982769e-16
        5         1 0
