49 49 0  673
        1         1 0.84999999999999853451
        1         2 5.8286708792820718372e-16
        1         3 0.37499999999999938938
        1         4 -0.63749999999999906741
        1         5 -0.63749999999999973355
        1         6 0.37499999999999977796
        1         7 -0.087499999999999966693
        1        14 -0.075000000000000122125
        1        15 -0.074999999999999997224
        1        16 -0.087499999999999855671
        2         1 5.8286708792820718372e-16
        2         2 8.1000000000000014211
        2         3 1.0547118733938987134e-15
        2         4 -2.0250000000000021316
        2         5 -2.024999999999999023
        2         6 1.0547118733938987134e-15
        2         7 1.1102230246251565404e-16
        2        14 -2.0250000000000003553
        2        15 -2.0250000000000021316
        2        16 -4.5796699765787707292e-16
        3         1 0.37499999999999938938
        3         2 1.2212453270876721945e-15
        3         3 3.375
        3         4 -1.6874999999999993339
        3         5 -9.8532293435482642963e-16
        3         6 -1.2143064331837649661e-16
        3         7 -0.037500000000000033307
        3        14 -1.6875000000000004441
        3        15 0.33750000000000007772
        3        16 -0.67499999999999982236
        4         1 -0.63749999999999906741
        4         2 -2.0250000000000021316
        4         3 -1.6874999999999993339
        4         4 3.3749999999999991118
        4         5 1.2351231148954866512e-15
        4         6 -2.4286128663675299322e-16
        4         7 -0.037499999999999977796
        4        14 0.33750000000000024425
        4        15 0.33750000000000041078
        4        16 0.33749999999999974465
        5         1 -0.63749999999999973355
        5         2 -2.024999999999999023
        5         3 -9.7144514654701197287e-16
        5         4 1.2767564783189300215e-15
        5         5 3.3749999999999986677
        5         6 -1.6874999999999993339
        5         7 0.33749999999999996669
        5        14 0.33749999999999991118
        5        15 0.33749999999999996669
        5        16 -0.03749999999999976269
        6         1 0.37499999999999988898
        6         2 9.9920072216264088638e-16
        6         3 -1.0755285551056203985e-16
        6         4 -1.873501354054951662e-16
        6         5 -1.6874999999999993339
        6         6 3.3749999999999968914
        6         7 -0.67499999999999926725
        6        14 0.33749999999999874545
        6        15 -1.6874999999999975575
        6        16 -0.037499999999999741873
        7         1 -0.087499999999999952816
        7         2 1.249000902703301108e-16
        7         3 -0.037500000000000040246
        7         4 -0.037499999999999977796
        7         5 0.33749999999999991118
        7         6 -0.67499999999999926725
        7         7 1.6999999999999972911
        7         8 8.3266726846886740532e-17
        7         9 -0.63749999999999973355
        7        10 0.37499999999999977796
        7        11 5.8286708792820718372e-16
        7        12 0.71249999999999924505
        7        13 -1.3124999999999982236
        7        14 0.075000000000000066613
        7        15 0.074999999999999872324
        7        16 0
        7        18 -0.037500000000000019429
        7        19 -0.037499999999999963918
        7        22 -0.075000000000000122125
        7        23 -0.074999999999999997224
        7        24 -0.087499999999999966693
        7        27 -0.17499999999999982236
        8         7 5.5511151231257827021e-17
        8         8 8.0999999999999996447
        8        12 -2.0249999999999994671
        8        13 1.1624919266731003506e-15
        8        14 -2.0249999999999999112
        8        15 -2.0250000000000016875
        8        16 -4.8208720887612428444e-16
        8        18 1.0108516314968771262e-15
        8        19 -2.0250000000000021316
        8        27 3.8494269422142303785e-16
        9         7 -0.63749999999999973355
        9         9 3.3749999999999986677
        9        10 -1.6874999999999993339
        9        11 -2.024999999999999023
        9        12 -9.7144514654701197287e-16
        9        13 1.2767564783189300215e-15
        9        22 0.33749999999999991118
        9        23 0.33749999999999996669
        9        24 0.33749999999999996669
        9        27 -0.03749999999999976269
       10         7 0.37499999999999988898
       10         9 -1.6874999999999993339
       10        10 3.3749999999999968914
       10        11 9.9920072216264088638e-16
       10        12 -1.0755285551056203985e-16
       10        13 -1.873501354054951662e-16
       10        22 0.33749999999999874545
       10        23 -1.6874999999999975575
       10        24 -0.67499999999999926725
       10        27 -0.037499999999999741873
       11         7 5.8286708792820718372e-16
